elapsed_s,current_a,recorded_duration_s
5.028118,-0.143590,5.028118
5.038913,-0.172894,5.038913
5.049676,-0.131868,5.049676
5.060703,-0.190476,5.060703
5.071664,-0.155311,5.071664
5.082617,-0.155311,5.082617
5.093550,-0.161172,5.093550
5.104322,-0.155311,5.104322
5.115239,-0.184615,5.115239
5.125750,-0.161172,5.125750
5.136821,-0.143590,5.136821
5.147378,-0.184615,5.147378
5.158463,-0.137729,5.158463
5.169664,-0.190476,5.169664
5.180581,-0.126007,5.180581
5.191005,-0.184615,5.191005
5.201646,-0.161172,5.201646
5.212459,-0.161172,5.212459
5.223449,-0.149451,5.223449
5.234787,-0.161172,5.234787
5.245488,-0.167033,5.245488
5.256091,-0.167033,5.256091
5.266920,-0.131868,5.266920
5.277893,-0.178755,5.277893
5.288431,-0.137729,5.288431
5.299529,-0.196337,5.299529
5.310415,-0.120147,5.310415
5.321159,-0.178755,5.321159
5.332102,-0.167033,5.332102
5.343270,-0.149451,5.343270
5.354111,-0.161172,5.354111
5.364659,-0.131868,5.364659
5.375680,-0.178755,5.375680
5.386579,-0.143590,5.386579
5.397654,-0.149451,5.397654
5.408659,-0.155311,5.408659
5.419963,-0.149451,5.419963
5.430619,-0.172894,5.430619
5.441679,-0.137729,5.441679
5.452839,-0.149451,5.452839
5.463309,-0.167033,5.463309
5.473989,-0.149451,5.473989
5.484957,-0.178755,5.484957
5.496055,-0.114286,5.496055
5.506944,-0.184615,5.506944
5.517985,-0.143590,5.517985
5.528550,-0.143590,5.528550
5.539546,-0.096703,5.539546
5.550568,-0.102564,5.550568
5.561086,-0.126007,5.561086
5.571536,-0.137729,5.571536
5.582552,-0.137729,5.582552
5.593036,-0.090842,5.593036
5.604056,-0.178755,5.604056
5.615224,-0.208059,5.615224
5.626039,-0.137729,5.626039
5.637222,-0.155311,5.637222
5.648072,-0.079121,5.648072
5.659032,-0.067399,5.659032
5.670079,-0.090842,5.670079
5.681116,-0.090842,5.681116
5.691530,-0.096703,5.691530
5.702541,-0.096703,5.702541
5.713075,-0.096703,5.713075
5.724107,-0.096703,5.724107
5.735168,-0.096703,5.735168
5.745599,-0.102564,5.745599
5.756114,-0.102564,5.756114
5.767063,-0.102564,5.767063
5.777388,-0.108425,5.777388
5.777538,-0.108425,5.777538
5.788438,-0.114286,5.788438
5.798901,+0.137729,5.798901
5.809743,+0.131868,5.809743
5.820547,+0.120147,5.820547
5.831548,+0.137729,5.831548
5.842578,+0.161172,5.842578
5.853539,+0.120147,5.853539
5.864538,+0.143590,5.864538
5.875565,+0.120147,5.875565
5.886118,+0.184615,5.886118
5.897045,+0.143590,5.897045
5.908218,+0.137729,5.908218
5.918556,+0.149451,5.918556
5.929566,+0.149451,5.929566
5.940611,+0.184615,5.940611
5.951142,+0.126007,5.951142
5.961682,+0.161172,5.961682
5.972645,+0.155311,5.972645
5.983222,+0.161172,5.983222
5.994119,+0.149451,5.994119
6.005155,+0.137729,6.005155
6.016294,+0.155311,6.016294
6.027142,+0.178755,6.027142
6.038164,+0.114286,6.038164
6.048674,+0.167033,6.048674
6.059645,+0.120147,6.059645
6.070673,+0.202198,6.070673
6.081257,+0.114286,6.081257
6.091901,+0.149451,6.091901
6.102659,+0.149451,6.102659
6.113709,+0.161172,6.113709
6.124166,+0.161172,6.124166
6.135333,+0.131868,6.135333
6.145730,+0.149451,6.145730
6.156268,+0.167033,6.156268
6.167325,+0.137729,6.167325
6.178332,+0.155311,6.178332
6.188836,+0.120147,6.188836
6.199778,+0.178755,6.199778
6.210748,+0.149451,6.210748
6.221324,+0.126007,6.221324
6.231804,+0.155311,6.231804
6.242961,+0.126007,6.242961
6.253865,+0.190476,6.253865
6.265043,+0.120147,6.265043
6.275838,+0.143590,6.275838
6.286870,+0.143590,6.286870
6.297848,+0.155311,6.297848
6.308955,+0.143590,6.308955
6.319306,+0.126007,6.319306
6.330350,+0.149451,6.330350
6.341366,+0.172894,6.341366
6.351848,+0.126007,6.351848
6.362865,+0.167033,6.362865
6.373845,+0.120147,6.373845
6.384893,+0.202198,6.384893
6.395385,+0.126007,6.395385
6.405885,+0.161172,6.405885
6.416432,+0.149451,6.416432
6.427466,+0.167033,6.427466
6.438643,+0.167033,6.438643
6.450155,+0.131868,6.450155
6.460944,+0.161172,6.460944
6.471432,+0.178755,6.471432
6.482241,+0.149451,6.482241
6.492974,+0.167033,6.492974
6.503976,+0.131868,6.503976
6.515051,+0.202198,6.515051
6.525474,+0.167033,6.525474
6.536080,+0.149451,6.536080
6.547004,+0.178755,6.547004
6.558074,+0.149451,6.558074
6.568549,+0.202198,6.568549
6.579649,+0.137729,6.579649
6.590514,+0.161172,6.590514
6.601100,+0.167033,6.601100
6.611576,+0.178755,6.611576
6.622092,+0.155311,6.622092
6.633100,+0.149451,6.633100
6.644136,+0.155311,6.644136
6.655255,+0.196337,6.655255
6.665609,+0.131868,6.665609
6.676115,+0.172894,6.676115
6.687125,+0.126007,6.687125
6.698094,+0.208059,6.698094
6.708699,+0.143590,6.708699
6.719138,+0.161172,6.719138
6.730158,+0.161172,6.730158
6.741168,+0.167033,6.741168
6.751950,+0.178755,6.751950
6.762808,+0.143590,6.762808
6.773149,+0.149451,6.773149
6.784152,+0.172894,6.784152
6.795190,+0.149451,6.795190
6.805742,+0.172894,6.805742
6.816779,+0.131868,6.816779
6.827782,+0.190476,6.827782
6.838735,+0.172894,6.838735
6.849709,+0.137729,6.849709
6.860760,+0.167033,6.860760
6.871190,+0.143590,6.871190
6.881796,+0.196337,6.881796
6.892705,+0.126007,6.892705
6.903234,+0.149451,6.903234
6.913811,+0.155311,6.913811
6.924783,+0.172894,6.924783
6.935355,+0.161172,6.935355
6.945791,+0.143590,6.945791
6.956805,+0.137729,6.956805
6.967837,+0.184615,6.967837
6.978803,+0.131868,6.978803
6.989978,+0.178755,6.989978
7.000867,+0.120147,7.000867
7.011355,+0.202198,7.011355
7.021825,+0.149451,7.021825
7.032962,+0.155311,7.032962
7.043889,+0.161172,7.043889
7.055003,+0.161172,7.055003
7.065823,+0.178755,7.065823
7.076876,+0.149451,7.076876
7.087867,+0.155311,7.087867
7.098843,+0.184615,7.098843
7.109884,+0.161172,7.109884
7.120852,+0.184615,7.120852
7.131383,+0.149451,7.131383
7.142000,+0.202198,7.142000
7.153089,+0.196337,7.153089
7.164145,+0.149451,7.164145
7.175309,+0.184615,7.175309
7.186172,+0.155311,7.186172
7.197054,+0.208059,7.197054
7.208145,+0.149451,7.208145
7.219143,+0.167033,7.219143
7.230196,+0.167033,7.230196
7.241299,+0.178755,7.241299
7.252193,+0.167033,7.252193
7.263172,+0.149451,7.263172
7.274250,+0.167033,7.274250
7.285114,+0.190476,7.285114
7.295744,+0.143590,7.295744
7.306539,+0.178755,7.306539
7.317627,+0.126007,7.317627
7.328323,+0.126007,7.328323
7.339084,+0.126007,7.339084
7.350292,+0.167033,7.350292
7.361266,+0.137729,7.361266
7.372130,+0.172894,7.372130
7.383127,+0.167033,7.383127
7.394268,+0.143590,7.394268
7.405061,+0.155311,7.405061
7.415788,+0.167033,7.415788
7.427187,+0.143590,7.427187
7.438228,+0.167033,7.438228
7.448733,+0.126007,7.448733
7.459679,+0.196337,7.459679
7.470618,+0.137729,7.470618
7.481184,+0.161172,7.481184
7.491677,+0.143590,7.491677
7.502622,+0.143590,7.502622
7.513286,+0.178755,7.513286
7.524334,+0.126007,7.524334
7.535378,+0.155311,7.535378
7.546162,+0.149451,7.546162
7.557166,+0.155311,7.557166
7.568230,+0.167033,7.568230
7.578753,+0.131868,7.578753
7.589832,+0.178755,7.589832
7.600797,+0.172894,7.600797
7.611192,+0.167033,7.611192
7.621745,+0.178755,7.621745
7.632743,+0.149451,7.632743
7.643262,+0.225641,7.643262
7.654236,+0.149451,7.654236
7.665287,+0.202198,7.665287
7.675750,+0.161172,7.675750
7.686778,+0.190476,7.686778
7.697944,+0.184615,7.697944
7.708975,+0.172894,7.708975
7.719975,+0.184615,7.719975
7.730867,+0.202198,7.730867
7.741232,+0.178755,7.741232
7.751827,+0.208059,7.751827
7.762944,+0.167033,7.762944
7.773291,+0.167033,7.773291
7.783825,+0.184615,7.783825
7.794847,+0.184615,7.794847
7.805349,+0.196337,7.805349
7.815943,+0.184615,7.815943
7.826851,+0.225641,7.826851
7.837864,+0.172894,7.837864
7.848849,+0.196337,7.848849
7.859925,+0.196337,7.859925
7.870884,+0.196337,7.870884
7.881465,+0.202198,7.881465
7.891884,+0.172894,7.891884
7.902432,+0.190476,7.902432
7.913420,+0.213919,7.913420
7.924436,+0.172894,7.924436
7.935515,+0.208059,7.935515
7.945937,+0.149451,7.945937
7.956910,+0.231502,7.956910
7.968145,+0.161172,7.968145
7.978954,+0.202198,7.978954
7.990086,+0.172894,7.990086
8.001000,+0.190476,8.001000
8.011473,+0.184615,8.011473
8.022006,+0.167033,8.022006
8.033002,+0.178755,8.033002
8.044013,+0.190476,8.044013
8.055157,+0.161172,8.055157
8.065982,+0.190476,8.065982
8.077053,+0.149451,8.077053
8.087969,+0.208059,8.087969
8.099020,+0.161172,8.099020
8.109965,+0.184615,8.109965
8.121224,+0.172894,8.121224
8.131960,+0.167033,8.131960
8.143007,+0.196337,8.143007
8.153542,+0.161172,8.153542
8.164548,+0.184615,8.164548
8.175774,+0.167033,8.175774
8.186671,+0.178755,8.186671
8.197584,+0.196337,8.197584
8.208689,+0.161172,8.208689
8.219136,+0.196337,8.219136
8.230198,+0.184615,8.230198
8.241231,+0.196337,8.241231
8.252111,+0.190476,8.252111
8.263156,+0.149451,8.263156
8.274076,+0.202198,8.274076
8.285092,+0.114286,8.285092
8.295731,+0.155311,8.295731
8.306540,+0.190476,8.306540
8.317584,+0.172894,8.317584
8.328568,+0.237363,8.328568
8.339152,+0.143590,8.339152
8.350098,+0.090842,8.350098
8.361203,+0.155311,8.361203
8.371589,+0.184615,8.371589
8.382179,+0.190476,8.382179
8.393088,+0.178755,8.393088
8.404257,+0.131868,8.404257
8.415213,+0.143590,8.415213
8.425685,+0.155311,8.425685
8.436143,+0.161172,8.436143
8.447166,+0.161172,8.447166
8.458171,+0.167033,8.458171
8.469220,+0.167033,8.469220
8.480122,+0.172894,8.480122
8.491163,+0.178755,8.491163
8.501641,+0.178755,8.501641
8.512222,+0.178755,8.512222
8.512398,+0.178755,8.512398
8.523730,+0.178755,8.523730
8.534797,-0.079121,8.534797
8.545707,-0.184615,8.545707
8.556205,-0.143590,8.556205
8.567239,-0.178755,8.567239
8.578230,-0.184615,8.578230
8.588791,-0.155311,8.588791
8.599748,-0.219780,8.599748
8.610308,-0.155311,8.610308
8.621297,-0.202198,8.621297
8.631818,-0.161172,8.631818
8.642863,-0.196337,8.642863
8.653859,-0.184615,8.653859
8.664799,-0.178755,8.664799
8.675339,-0.178755,8.675339
8.685889,-0.190476,8.685889
8.697023,-0.167033,8.697023
8.707972,-0.208059,8.707972
8.718875,-0.155311,8.718875
8.729903,-0.219780,8.729903
8.740934,-0.172894,8.740934
8.751366,-0.196337,8.751366
8.761979,-0.184615,8.761979
8.772888,-0.172894,8.772888
8.783941,-0.219780,8.783941
8.794941,-0.167033,8.794941
8.805462,-0.208059,8.805462
8.815987,-0.178755,8.815987
8.826931,-0.196337,8.826931
8.838096,-0.202198,8.838096
8.848997,-0.184615,8.848997
8.859946,-0.196337,8.859946
8.870947,-0.202198,8.870947
8.881515,-0.184615,8.881515
8.891967,-0.213919,8.891967
8.903010,-0.161172,8.903010
8.914051,-0.231502,8.914051
8.924699,-0.167033,8.924699
8.935820,-0.208059,8.935820
8.946295,-0.172894,8.946295
8.957227,-0.190476,8.957227
8.968213,-0.196337,8.968213
8.978714,-0.178755,8.978714
8.989695,-0.178755,8.989695
9.000728,-0.184615,9.000728
9.011248,-0.167033,9.011248
9.021802,-0.202198,9.021802
9.032777,-0.143590,9.032777
9.043902,-0.208059,9.043902
9.054324,-0.167033,9.054324
9.065382,-0.190476,9.065382
9.075898,-0.167033,9.075898
9.086955,-0.161172,9.086955
9.097891,-0.196337,9.097891
9.109046,-0.149451,9.109046
9.119854,-0.178755,9.119854
9.130879,-0.161172,9.130879
9.141422,-0.184615,9.141422
9.151984,-0.178755,9.151984
9.163046,-0.161172,9.163046
9.174068,-0.178755,9.174068
9.185067,-0.178755,9.185067
9.195574,-0.167033,9.195574
9.206078,-0.184615,9.206078
9.217033,-0.137729,9.217033
9.228148,-0.202198,9.228148
9.239126,-0.149451,9.239126
9.250055,-0.190476,9.250055
9.261020,-0.161172,9.261020
9.271567,-0.184615,9.271567
9.282117,-0.184615,9.282117
9.293077,-0.167033,9.293077
9.304070,-0.167033,9.304070
9.315075,-0.184615,9.315075
9.325575,-0.172894,9.325575
9.336330,-0.202198,9.336330
9.347066,-0.137729,9.347066
9.358132,-0.202198,9.358132
9.369096,-0.161172,9.369096
9.380149,-0.184615,9.380149
9.391152,-0.155311,9.391152
