elapsed_s,current_a,recorded_duration_s
0.608151,+0.055678,0.608151
0.616718,+0.055678,0.616718
0.619198,+0.055678,0.619198
0.622291,+0.049817,0.622291
0.624684,+0.055678,0.624684
0.627922,+0.055678,0.627922
0.630215,+0.055678,0.630215
0.632751,+0.049817,0.632751
0.635258,+0.055678,0.635258
0.638290,+0.055678,0.638290
0.641060,+0.055678,0.641060
0.644097,+0.055678,0.644097
0.646984,+0.055678,0.646984
0.650171,+0.055678,0.650171
0.653215,+0.055678,0.653215
0.656226,+0.055678,0.656226
0.659141,+0.049817,0.659141
0.662166,+0.049817,0.662166
0.665141,+0.049817,0.665141
0.668316,+0.049817,0.668316
0.670946,+0.055678,0.670946
0.673757,+0.049817,0.673757
0.676481,+0.049817,0.676481
0.678979,+0.049817,0.678979
0.682014,+0.049817,0.682014
0.684484,+0.049817,0.684484
0.687543,+0.049817,0.687543
0.690098,+0.049817,0.690098
0.693126,+0.049817,0.693126
0.696096,+0.049817,0.696096
0.698515,+0.049817,0.698515
0.701057,+0.049817,0.701057
0.704185,+0.049817,0.704185
0.707292,+0.049817,0.707292
0.710118,+0.049817,0.710118
0.718584,+0.049817,0.718584
0.721224,+0.049817,0.721224
0.724137,+0.049817,0.724137
0.727089,+0.049817,0.727089
0.730099,+0.043956,0.730099
0.733176,+0.049817,0.733176
0.736347,+0.049817,0.736347
0.738661,+0.043956,0.738661
0.741105,+0.049817,0.741105
0.744137,+0.043956,0.744137
0.747264,+0.049817,0.747264
0.750161,+0.049817,0.750161
0.753161,+0.049817,0.753161
0.756116,+0.049817,0.756116
0.758667,+0.043956,0.758667
0.761229,+0.043956,0.761229
0.764241,+0.043956,0.764241
0.767338,+0.043956,0.767338
0.770241,+0.043956,0.770241
0.773271,+0.043956,0.773271
0.776237,+0.049817,0.776237
0.778688,+0.043956,0.778688
0.781773,+0.043956,0.781773
0.784674,+0.043956,0.784674
0.787872,+0.043956,0.787872
0.790207,+0.049817,0.790207
0.793221,+0.043956,0.793221
0.796197,+0.043956,0.796197
0.798838,+0.043956,0.798838
0.801846,+0.043956,0.801846
0.804735,+0.043956,0.804735
0.807728,+0.043956,0.807728
0.810206,+0.043956,0.810206
0.818755,+0.043956,0.818755
0.821785,+0.043956,0.821785
0.824725,+0.038095,0.824725
0.827935,+0.043956,0.827935
0.830557,+0.049817,0.830557
0.833319,+0.043956,0.833319
0.836263,+0.043956,0.836263
0.838828,+0.043956,0.838828
0.841925,+0.043956,0.841925
0.844838,+0.043956,0.844838
0.847804,+0.043956,0.847804
0.850806,+0.043956,0.850806
0.853860,+0.043956,0.853860
0.856851,+0.038095,0.856851
0.859529,+0.038095,0.859529
0.862572,+0.032234,0.862572
0.865536,+0.038095,0.865536
0.870119,+0.038095,0.870119
0.873057,+0.038095,0.873057
0.876102,+0.038095,0.876102
0.878667,+0.038095,0.878667
0.881307,+0.038095,0.881307
0.884236,+0.038095,0.884236
0.887230,+0.038095,0.887230
0.889960,+0.038095,0.889960
0.892845,+0.038095,0.892845
0.895806,+0.038095,0.895806
0.898747,+0.038095,0.898747
0.901771,+0.038095,0.901771
0.904756,+0.038095,0.904756
0.908001,+0.038095,0.908001
0.910819,+0.038095,0.910819
0.919351,+0.038095,0.919351
0.922445,+0.038095,0.922445
0.925477,+0.038095,0.925477
0.928388,+0.038095,0.928388
0.931085,+0.038095,0.931085
0.934118,+0.038095,0.934118
0.937124,+0.038095,0.937124
0.940111,+0.038095,0.940111
0.943078,+0.038095,0.943078
0.946107,+0.038095,0.946107
0.949519,+0.038095,0.949519
0.952460,+0.038095,0.952460
0.955417,+0.032234,0.955417
0.958407,+0.032234,0.958407
0.961118,+0.038095,0.961118
0.963893,+0.032234,0.963893
0.967019,+0.032234,0.967019
0.969503,+0.032234,0.969503
0.972627,+0.038095,0.972627
0.975634,+0.032234,0.975634
0.978659,+0.032234,0.978659
0.981104,+0.032234,0.981104
0.984324,+0.032234,0.984324
0.987283,+0.038095,0.987283
0.989893,+0.032234,0.989893
