elapsed_s,position_rad,velocity_rad_s,tau_cmd_nm,tau_fb_nm,force_est_n
0.396218,2.511760,-0.969475,-1.250000,-0.489377,40.781441
0.398639,2.509173,-0.959707,-1.250000,-0.483516,40.293040
0.401176,2.506682,-1.003663,-1.250000,-0.483516,40.293040
0.403652,2.504286,-0.989011,-1.250000,-0.489377,40.781441
0.406251,2.502082,-0.915751,-1.250000,-0.495238,41.269841
0.408769,2.499782,-0.920635,-1.250000,-0.501099,41.758242
0.411371,2.497482,-0.930403,-1.250000,-0.518681,43.223443
0.413824,2.495182,-0.915751,-1.250000,-0.524542,43.711844
0.416361,2.492787,-0.915751,-1.250000,-0.518681,43.223443
0.419338,2.490487,-0.910867,-1.250000,-0.524542,43.711844
0.422013,2.487804,-0.930403,-1.250000,-0.518681,43.223443
0.424584,2.485312,-0.930403,-1.250000,-0.512821,42.735043
0.427201,2.482917,-0.935287,-1.250000,-0.512821,42.735043
0.429611,2.480329,-0.954823,-1.250000,-0.501099,41.758242
0.432156,2.478029,-0.974359,-1.250000,-0.501099,41.758242
0.435746,2.475730,-0.920635,-1.250000,-0.506960,42.246642
0.438377,2.472280,-0.945055,-1.250000,-0.495238,41.269841
0.440901,2.469788,-0.984127,-1.250000,-0.495238,41.269841
0.443581,2.467201,-0.979243,-1.250000,-0.489377,40.781441
0.446223,2.464518,-0.979243,-1.250000,-0.471795,39.316239
0.448920,2.461835,-1.018315,-1.250000,-0.471795,39.316239
0.451422,2.459247,-0.989011,-1.250000,-0.477656,39.804640
0.453979,2.456852,-0.964591,-1.250000,-0.471795,39.316239
0.456557,2.454360,-0.993895,-1.250000,-0.477656,39.804640
0.459076,2.451869,-0.974359,-1.250000,-0.483516,40.293040
0.462194,2.449569,-0.910867,-1.250000,-0.495238,41.269841
0.464714,2.446790,-0.920635,-1.250000,-0.501099,41.758242
0.467234,2.444394,-0.935287,-1.250000,-0.506960,42.246642
0.469774,2.442094,-0.915751,-1.250000,-0.506960,42.246642
0.472306,2.439795,-0.935287,-1.250000,-0.506960,42.246642
0.474978,2.437495,-0.910867,-1.250000,-0.512821,42.735043
0.477508,2.435195,-0.886447,-1.250000,-0.518681,43.223443
0.480052,2.432991,-0.891331,-1.250000,-0.530403,44.200244
0.482697,2.430787,-0.876679,-1.250000,-0.536264,44.688645
0.485251,2.428295,-0.925519,-1.250000,-0.530403,44.200244
0.487766,2.425996,-0.925519,-1.250000,-0.530403,44.200244
0.490474,2.423887,-0.857143,-1.250000,-0.542125,45.177045
0.493349,2.421492,-0.827839,-1.250000,-0.547985,45.665446
0.496271,2.418904,-0.876679,-1.250000,-0.547985,45.665446
0.499229,2.416317,-0.925519,-1.250000,-0.547985,45.665446
0.501745,2.413538,-0.930403,-1.250000,-0.536264,44.688645
0.504277,2.411047,-0.984127,-1.250000,-0.524542,43.711844
0.507292,2.408651,-0.979243,-1.250000,-0.518681,43.223443
0.509820,2.405872,-0.930403,-1.250000,-0.512821,42.735043
0.512413,2.403380,-0.940171,-1.250000,-0.506960,42.246642
0.514897,2.401081,-0.949939,-1.250000,-0.512821,42.735043
0.517499,2.398781,-0.910867,-1.250000,-0.518681,43.223443
0.520018,2.396481,-0.881563,-1.250000,-0.518681,43.223443
0.522808,2.394181,-0.910867,-1.250000,-0.518681,43.223443
0.525146,2.391594,-0.930403,-1.250000,-0.518681,43.223443
0.527739,2.389486,-0.920635,-1.250000,-0.518681,43.223443
0.530325,2.386994,-0.925519,-1.250000,-0.518681,43.223443
0.532911,2.386994,-0.925519,-1.250000,-0.518681,43.223443
0.535519,2.382107,-0.935287,-1.250000,-0.512821,42.735043
0.538084,2.379807,-0.940171,-1.250000,-0.512821,42.735043
0.540658,2.377316,-0.930403,-1.250000,-0.506960,42.246642
0.543181,2.374728,-0.974359,-1.250000,-0.495238,41.269841
