elapsed_s,current_a,recorded_duration_s
4.053130,-0.114286,4.053130
4.064160,-0.161172,4.064160
4.074638,-0.278388,4.074638
4.085803,-0.213919,4.085803
4.096657,-0.202198,4.096657
4.107745,-0.178755,4.107745
4.118631,-0.102564,4.118631
4.129211,-0.137729,4.129211
4.140200,-0.137729,4.140200
4.151175,-0.178755,4.151175
4.161780,-0.249084,4.161780
4.172239,-0.202198,4.172239
4.182792,-0.161172,4.182792
4.193357,-0.131868,4.193357
4.204390,-0.079121,4.204390
4.215410,-0.178755,4.215410
4.226487,-0.178755,4.226487
4.237420,-0.172894,4.237420
4.248324,-0.290110,4.248324
4.259340,-0.202198,4.259340
4.270358,-0.155311,4.270358
4.281099,-0.131868,4.281099
4.291730,-0.120147,4.291730
4.302269,-0.172894,4.302269
4.312781,-0.167033,4.312781
4.323814,-0.167033,4.323814
4.334378,-0.190476,4.334378
4.345334,-0.143590,4.345334
4.356283,-0.137729,4.356283
4.367362,-0.155311,4.367362
4.378382,-0.137729,4.378382
4.389455,-0.172894,4.389455
4.400440,-0.202198,4.400440
4.411524,-0.131868,4.411524
4.422829,-0.208059,4.422829
4.433836,-0.149451,4.433836
4.444289,-0.178755,4.444289
4.454759,-0.172894,4.454759
4.465769,-0.126007,4.465769
4.476781,-0.137729,4.476781
4.487798,-0.108425,4.487798
4.498835,-0.114286,4.498835
4.509828,-0.161172,4.509828
4.520500,-0.172894,4.520500
4.531584,-0.190476,4.531584
4.542020,-0.178755,4.542020
4.553099,-0.120147,4.553099
4.564115,-0.126007,4.564115
4.575169,-0.108425,4.575169
4.586020,-0.126007,4.586020
4.597088,-0.254945,4.597088
4.608040,-0.196337,4.608040
4.619054,-0.172894,4.619054
4.630062,-0.155311,4.630062
4.641258,-0.061538,4.641258
4.652043,-0.102564,4.652043
4.662717,-0.126007,4.662717
4.673167,-0.167033,4.673167
4.683755,-0.243223,4.683755
4.694340,-0.196337,4.694340
4.705286,-0.167033,4.705286
4.716309,-0.131868,4.716309
4.727259,-0.079121,4.727259
4.738378,-0.149451,4.738378
4.749305,-0.149451,4.749305
4.760311,-0.143590,4.760311
4.771292,-0.260806,4.771292
4.781803,-0.167033,4.781803
4.792315,-0.114286,4.792315
4.802906,-0.084982,4.802906
4.814356,-0.096703,4.814356
4.824766,-0.172894,4.824766
